,sentiment,content
981,love,@mattpro13 Maatt Havent spoken to you in ages dudeee  Dont forget bout ur Aussie fan  ;) lool. Love ya xx
1016,love,"Trying to learn how to do this &quot;twitter&quot; thing... I'll get there. Welcome to all my followers, though Im not that interesting"
1063,love,@craftjoshua I CAN'T!!! My heart aches for her children  I wanna adopt alexis
1064,love,@TicketChoice lunch was going home to rest...not well today
1118,love,i wanna be love drunk
1156,love,@MaritessDeLeon aww tessy wanna hug?
1160,love,just got Up and going to get ready to go to meadowhall ;) can't believe my internet broke yesterday  GUTTED
1167,love,I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough
1186,love,@Snuva Mmmmmm I love curry. Don't have an Oregan though.
1209,love,wth is happening with my neck. this is definitely not stiff neck :|
1210,love,Looking at old pictures... I love it &amp; miss the good ol days
1229,love,Just finished The Minish Cap. It's a great game! I'll miss Ezlo and Link.
1264,love,@cheri two macaroons go into a bar....one says oh your a nut.  wow I need to get out more.
1283,love,@TheKJA finished listening to Last Days of Krypton's audio book! Loved it...so sad though...
1315,love,wishing i had marvelous misadventures of flap jack on DVD
1316,love,@MitchBenn Waah! You were in Aberdeen? F**K why do I miss all the best gigs?!
1357,love,"oooooh!  this guy is so amazing, he's so cute, and he sent me a photo!  and no...i can't show"
1405,love,"@LMA_xo My daddy lives in Manchester, I love it there :-D HULL?! :O bitch! I have a mate there and I wanna go"
1412,love,There is something wrong with me! I'm so tired I can barely keep my eyes open. Yet all I've done for the last 3hrs is toss &amp; turn in bed
1424,love,I really wanted to watch Mary Poppins and sing along.
1446,love,@kellanator I don't mind Sam. But I liked Kate more.  I don't like Chris. He's smarmy.
1450,love,aw. nick got his heart broken.  poor baby. i love you!
1509,love,@thomasfiss i think you should come tomarrow....because i was really really really looking foreword to seeing you.......please come?
1557,love,Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.
1587,love,kewl the JB chat was awesome. I had to miss lots of it though cause i had 2 go 2 skewl
1625,love,"@marjorielu MISS YOU, TOO!"
1739,love,@mimiwinfrey i wish i could find my camera cause i really wanna record some too...
1760,love,I love music so much that i've gone through pain to play :S my sides of my fingers now are peeling and have blisters from playing so much
1772,love,"All this talk of buttershots has me wanting some!  Maybe I'll have a small bit over ice, I haven't had any since faire."
1775,love,@westonbuck i want a zune but i looove my pod  hahah
1781,love,"standing here open hands and i know i can't do this alone hold on, hold on, baby, hold on...geeez"
1835,love,"@LishaKatherine i hope your doing great! I, your friends, and california miss you!!!"
1913,love,im gonna go to bed alone again.  Sad day for me. but itll get better.
1950,love,@soscandalous love you ::hugs:but i'm not seeing anything...wondering if i'm doing something wrong)
1975,love,"@thoughtmecca still on track to move back, albeit in 2-3 years.  However, my buddy Jen is now moving with me, so we're on a FAST track!"
1978,love,Ok so I did shed a few tears watching the preview for next weeks Medium. I'm so scared. I'm so addicted to this show. I love it
2018,love,"i really want to marry leighton meester. damn, can`t take my eyes of her."
2043,love,"@Jessicaveronica MARRRRRRRRRRY ME! &lt;3 have fun partying tonight, have a drink for me, if only i was 18 i wud come there just to see you!"
2052,love,@Roberto958  awwww  thanks for follwin me thou. lol
2064,love,using my brothers G1 phone.. love it! driving to vegas... my phone died this morning and my charger broke
2078,love,slept all day.. lol. now time to start on my UN article.. what fun (: ...
2085,love,@SexyKellyC hey chocolate chips is good.  i want a snack too but i'm out of snacks.
2154,love,im finally going home but didnt get to finish all my work  so ill be back tomorrow
2165,love,"@sweetavalanche haha yeah i know  yeah, things are okay, pretty much the same. i'm slowly sorting things out.. exams are coming D: haha"
2250,love,I loved johnny carson now I'm going to hate seeing jay leno go  (via @womanschitchat) that's what I was waiting for someone to say!
2252,love,@diane4president visit si fr joemar dito bataan (frm camiguin) &amp; sum of my ofcmates&amp; i are supposed to meet him this saturday  can't luwas
2259,love,@BK_II It's foggy here
2274,love,@albamayo...I just posted my First video... A contest entry and my still is terrible too  boo...luv ur videos btw. Xxxrebelrebelxxx
2336,love,Friends! Come over and give me a massage  I can't sleep.
2346,love,"@ddlovato july 21st!?? that means at your concert I won't know all the songs.  oh well, yay demi!! &lt;3"
2366,love,@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you a good flight &lt;3
2376,love,@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you good luck
2403,love,I miss you sweetie!
2405,love,@AntBoogieWorld Wish you were coming to Australia &amp; New Zealand with the Sticky Tour Ant
2411,love,what a bummer that tomorrow is friday again!
2415,love,@IljaCoolen Thanks! Just used a therm to pry it out. Was like concrete! Blood and everything!  He's doing a lot better now. Thank god.
2435,love,"Just finished The Village. So in love,could watch it over and over! Wonder why I can't get to sleep tonight"
2440,love,http://twitpic.com/666gy - My glass is empty. Will someone be a dear and fetch me another?
2457,love,All of you can have fun tweeting all day while im cleaning hair  LOL
2471,love,Summer is really ending. It's raining.
2523,love,"Oh Cr*p.... Here goes my head again, &quot;I'm Spinning Around&quot;"
2652,love,@melissaohh omg  when do they finish??
2665,love,is not ready for school yet!!!  http://plurk.com/p/wy69d
2666,love,"@KarenAnn_P i'm so sorry about that  i was really excited about it too! but i might continue posting externally, so fingers crossed!"
2687,love,@Dichenlachman oh I love oreos!! U can't get many varieties in the uk
2691,love,"@jassily but ... but it's michael bay ...*sigh* i'm sorry, love - didn't know you felt that way about it   XD"
2729,love,@BrianLimond but lorraine kelly is a sexy mama!
2773,love,@HaylieK can't do class tomorrow audition at 10am  but free from 11 to 3 if u wanna work out!
2790,love,No http://twtvite.com/3koyqo #twtvite #aptw Have to miss this now because of other engagements
2820,love,They changed the way Golden Gaytimes are made. They used to be awesome.
2847,love,"Oh ffs :@ a don't get paid till monday :@:@:@ :$. Sorry william, gonna have to wait till next weekend till I give you ï¿½  :@"
2879,love,@mizplunderbunny *hugs* why?
2896,love,"@sarahkate1 sleepover's the shit! I love those guy, I totally forgot they played tonight"
2943,love,SAD day! love you Maï¿½ (8 years ago!) miss you so much!!!!
2973,love,@MrsSOsbourne Hi Sharon Missed you on our x factor last year!!  Come Back!! x
3055,love,aww @iCONtips you are too kind!! Hi sweetie! Are you guys out partying without me   I'm the only person who came to work 2nite lol
3085,love,I thought when u go #2 your tummy is supposed to feel better not worse
3092,love,@benmatewe being updated to have multiple 'skins' for different GT members. Nightmare. 82k of CSS to hack!  No time to redo; woe is me.
3115,love,"lovely day again... hope it continues all weekend, I'm stuck at my desk today"
3135,love,"@RikkAlaniz I'm glad he didn't get too hurt, I know some bad things can happen on motorcycles  you and everyone else are okay too, right?"
3166,love,The Blowout ended
3183,love,@Nasnous Thanks bro but I'm awake already  How are you?
3191,love,@Kellyke28 You poor thing  Hang in there. -xxx- luf joe
3229,love,Archie Proposes Veronica in the Latest Archie's Comic. The Longest known Love Triangle is coming to an End. Poor Betty.
3296,love,"I was glorious at 6.50 when I went outside, so why has it gone cold and cloudy now"
3328,love,I think I love a part of me saying some cynical words. Even though I smile when I say them. Do you think it's bad?
3336,love,@SexySkins Miss you!!
3382,love,"@truestepper Other people have their Glasgow ones, standing and seats, for all nights."
3442,love,"@effyobie LOL. dood, i love you and miss you."
3457,love,@Impala_Guy Maybe we will meet later again my friend - would luv too )) Iï¿½m still at the office and have a lot of work
3461,love,@TaylaMe3 id poke u...on face book but u dont have 1  lol
3505,love,"Aaaagh, aircon not working in my office"
3543,love,baby alex i miss you  ily&lt;3 good night&lt;/3
3544,love,"Japan is treating me good as of now...don,'t know how long"
3569,love,@sabrepulse you've got the H1N1 tsk tsk tsk it's a shame  haha feel better bro
3593,love,@CristaltheGreat  ok Cristal we gonna tweet talk again when its not so late...just follow sweetie....tweethug 4 ya
3606,love,@HospitalityMan  got the laptop but no golden rings  This weekend's job is to get it all set up - oh joy
3619,love,@jwpage your SMS managed to crash my phone.
3646,love,@Iam04 tea...  Mmmm crispy but no cake  Have headphones!
3658,love,"i want my WOOSOO like now plz  i gant wait, knowing she's so close is driveing me NUTTS"
3681,love,@harrisongilmore if only that was really my job title
3756,love,lovely day and i have to work
3759,love,"@cjwilliams1975 @barmanandy We were in Lindos, and it absolutely ruled. Will post some pictures somewhere, some time. Back to work today"
3778,love,@kekeinaction Thats ok...ur a good person + My Idol soo good people deserve sum good comments..hows the weather ova der --London is cold
3798,love,I miss @abhorredlife so much  I wish I had enough money to be with him again
3818,love,@pleasurep Just read that message about u being at Stephanie's in Greensboro.....love it! I miss my home!
3868,love,I KnO they're my guilty pleasure like shopping   @diorchick0420
3872,love,ugh-cold and dank out
3894,love,@thomasfiss @drewryanscott i jus listened 2 'not okay' it's nice i lik it.. I've been thinkin abt thomas throughout e whole song..  luv ya
3955,love,"@Rockergirl75 And now she also rides giant squids...who knew! Ama hafta go now  i'll try and get on later, love to you xxx"
3965,love,@thereallilza  wut itell u yesterday lol
3977,love,@knightinqs O noes!       &lt;3  Nathan said he'd wear the tie to the rally.  If you missed that.
3989,love,wants to smoke a cig but doesn't have a lighter.
3992,love,@c0v89 i know!  This season has just zoomed by!
3994,love,"Goooooodmoring , I don't want to be up I am YAT   happy birthday again @its_aygee !"
4042,love,I hope you come over today...its almost 8  Ill be leaving at 8:30 if you dont show up...I love you &amp; good morning.
4080,love,@MYoungPSU  i must have just missed you. I was down there until 9:40 or so. Not sure if I'll make it down again
4088,love,"@TrixieStilletto Oh, sweetie, I'm so sorry.  That's the last thing you needed right now. *hugs*"
4114,love,"@AnikoHeartsJon I am a little bit sick  (voice, nose and head). My brother has shared his microbes with me *sigh* See you later !"
4123,love,@Famousnae i know.  i would of gone to red river but i forgot bout it and was tired from work. we need a donut hole eating date soon!
4186,love,@ddlovato hey! im a fan form Puerto Rico .. can'wait for your next CD ... xoxoxoxo Come back on tour here please  !!
4198,love,"@JenRajpura HAHAHA, I'm going to be so disappointed that I miss this   But if you go HAVE FUN!!!"
4210,love,weekend along with the summer is here so why do I feel sad?
4218,love,@RennaSuicide Alright...you missed one crazy party last night
4232,love,Really fucking loved him
4237,love,@almcheese alms ur tweets r all delicious. Haha! Since its about foodddd... Anyway gatau nih aku mau pindah dr binus
4298,love,watchin' a moovie...and im sited about going 2 ma friend Sara's tomorrow at 9:00 a.m. She was injured   I luv ya'll. i will keep u updated
4314,love,contemplating borrowing one of my moms dogs just for today..i want to take care of someone.
4348,love,@LifewithMikey82 this is the end of the semester so i am really busy... have got no time for twitting  what a pity cause i love it
4377,love,@_supernatural_ http://twitpic.com/66l83 - i liked old ruby best.
4441,love,"@anijade she was wonderful, did not get to meet her though"
4474,love,"@jennyrae Wow, I really hope it gets better. Asthma sucks"
4479,love,I'm going to blow ticketmaster up. I had 8th row tickets for @taylorswift13 and ticketmaster messed up. Just like my life.  im sad
4492,love,@LaurenConrad    the hills is gunna be so different!! gl with your designing etc.
4515,love,"@lowkeyriez nnnaaa uhhhh playah! shawty aint got nun, maybe it was ur phone or mines  but I wanted to hit me up when u left the studio"
4525,love,@Rob_Hammond Were on the way home from a night in London! Was lovely! Now working all weekend and Monday  when the weathers nice x
4534,love,@_Trystianity_ you got some sexy pics girl!!!  Love the eyebrow piercing!  I used to have a ton of piercings now I only have my ears  lol
4557,love,i ditched school ( i hate it ) and im taking a huge dump.......    it hurts REAL BAD!
4563,love,"Just had my teeth checked, now my eyes. I'm dying for a coffee but can't drink for an hour."
4586,love,Got approximately 3 hours of sleep last night....I love my life
4595,love,Watching French Open tennis - sad to see Venus make an early exit this morning!
4610,love,inside on a beautiful day!
4714,love,"@Jackobeanz I'm blue.  In other news, you will love tonight's DC!"
4723,love,"i saw some lovely skinny jeans today for ï¿½3 at a charity shop, but they were just a little bit tight on my thighs.  ahhh so annoying"
4734,love,"Muffins: Muffins are delicious, Muffins are neat, I have no more muffins to eat."
4799,love,"@mockingbird_ I'm good thanks! Did you have a good drive? Careful with your blackberry, we don't want you getting screamed at"
4871,love,I just made myself a wonderful breakfast!!!!!!!! Now I have to get ready to workout
4918,love,"@Td_keepsitreal haha awe. Well right now, I could be at home but I have to be here. It's horrible  Lol"
4976,love,"So far absolutely perfect. Great view, directly across from the elevators and ice machine and impecible weather. I need my bike."
4989,love,"Altona... Wogs, Gota love em.. All I can smell is awsome food and makes me hungry"
5008,love,"little beetle not feeling any love  Searches are bring up zilch, bar 2 peeps that appear funny !!!"
5012,love,im not feeling like getting myself in motion to go to work...
5042,love,@mileycyrus http://twitpic.com/336u5 - i love her too !!! she shouldve won
5064,love,Noo! I Don't wanna leave! i love it here
5074,love,@miztrouble89 love you loads hun ) hot weather gutted i aint with you now chillaxing  but we got tomoz  xxxx
5084,love,Not feeling very well.
5089,love,at starbucks with my love. eff school. i have work later too.
5099,love,"@karleemay Thank You, Sweetie. I just don' understand how people can be mad at me for something THEY made as a choice in life.."
5114,love,at a auto shop getting m suv fix ugh more $   http://twitpic.com/66of2
5133,love,Booo. Finally I could get back on here. My Internet went out
5149,love,@miss_devi thankyou. i wont but you know
5167,love,watching midsomer murders... totally in love with this show. Should have pursued forensic psychology instead of this brain thingy
5175,love,"@katismonster i wnt there yesterday!  wish u could go with me someday u,u LOOVE YA &lt;3"
5187,love,@zincroof ahh ok! Enjoy! I'll miss it
5223,love,@aliis32 LoL....heeeyyy love! Not much working   and you
5253,love,@mr2oh2 So you're gonna make me go alllll the way to the store??? LOL  I have to find one...I'll Google.  Thanks.    LOL
5257,love,@rcf89 you have GH:WT? i hate you! i &quot;got&quot; it but it was DVD9  and i need it now the drums are being sold separately
5276,love,@OfficialBabyV : yes she got all lovey with him&amp;he returned the love&amp;1thing led2 another&amp;  also @BrittanyASnow wants2 know y ur mad at her
5281,love,i &lt;3 maria but i wish she was in my class!!!  i love her lol bored in class again!!
5282,love,@dopegirlfresh YAY!!  I was supposed to be there next weekend. But its off now.   But I'ma make it out there...I &lt;3 Philly.
5304,love,Jesus Christ meadowhall could do with better air con! Too hot
5379,love,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc"
5396,love,I THINK EVERYONE HATES ME ON HERE   lol
5413,love,"it's you and me forever ?, it's you and me right now   flywithmeobsessive. Im crying"
5422,love,@Mpisthename Kisses! or its screwed. i'll be a raggy old cat woman ha i'm pretty sure of it
5453,love,@kamy775 It's gonna be hot here today too. today is Ryan's last day of pre-k. I can't believe it!  I've been a SAHM since I had him!
5475,love,@clovisdied *hugs* me too.
5481,love,"i forgot to put my work clothes in the dryer  also, i love my new slippers!"
5565,love,@enrapture_ I'm still waiting for them to recontinue their &quot;breathless&quot; scent..  lol
5584,love,"Now that Hugh Laurie has mentioned he follows @stephenfry on twitter, thousands of idiots think this (@hughlaurie) is him. IDIOTS!"
5638,love,Fallen in love with enter shikari again. Might go for a walk with the lady later. @work now though
5731,love,"Not feeling it 2day, just left the glasses on  peace and unity."
5804,love,@ArtOfCarbo Surely you knew this before hand? A good book or a hand held has to be essential. Just no PSPs unless you have a charger.
5892,love,@kweenie Are you in Galbladia Garden? That shit is hard.
5897,love,"@tommcfly Would love it if you guys toured here, really! Philippines tour?"
5954,love,OMGoodness back to school soon FUN!
5982,love,Don't you hate it when you're left with one slice of bread left in the bag? Half sandwich.
6027,love,@mommyto6kids oh great.
6059,love,@Leikela4 glad its nice there. Gray skies and rainy in wisconsin.
6080,love,"oh noes, my puma hoodie is coming apart  i love this thing!"
6102,love,i realy wanted to go out cause its so nice but everybodys busy
6108,love,@claireyjonesy mines curly atm  i want mine to be straight lmao
6124,love,Awww the boys have no beards?    I LIKED THEIR MANLY MAN-NESS [via @zepinklady] #asylm
6157,love,"@tommcfly It's 12AM! @buonotomato, @bluejeriberry and I are still up, sending you as much tweets as we can! Philippines tour please?"
6175,love,Countdown to launch! June 2nd is oh so temptingly close ... If only my lovely puter weren't so faaaaar away
6200,love,@ChrisandCal Thats soooo pretty. Mine havnt flowered for years
6207,love,@tommcfly I need to watch Star Trek
6235,love,really want to go to the nets
6272,love,@tommcfly Do a tour in the Philippines sometime.  A lot of fans here would really love that!
6273,love,@INTYCEYOU hey love whats up! my voice is shot  whats new with you
6292,love,@dever  Hope you have a better weekend then..
6303,love,@mrinal and the other variable types that we have are not going to be any helpful here!  what is the margin of error here?
6336,love,"aww twiter i miss you.. today i'll post a little more.. i mea, after the movie theater..ahah soo coold here"
6399,love,changos el link no me sirve mta
6427,love,"@sarrasina OMG...thank you so much for sending that, I hadn't seen yet. So loving the new Phoenix, too bad they're not coming to Seattle"
6453,love,It's officially the start and the end of my summer. Oh summer school
6480,love,Just read McDonald's is actually running more ads than before the economic slowdown. Great. I'm lovin it.
6504,love,@ispybeauty philly was soooo fun. im trying to come to sea isle asap. im working alot the next two weeks tho b/c alot of peole asked off
6522,love,"@tommcfly My eyes are starting to hurt! It's getting super late. But I just gotta keep tweeting. Haha! Philippines tour, please, Tom?"
6549,love,is back home now      gonna miss every one
6592,love,Happy Friday. Just pulled some yummy radishes out of the garden. Hope the strawberries turn out. Still no blooms.
6601,love,i love mandy moore so much  and also angela
6637,love,"@LILPARADIVA @spookyjenb and Em, my baby, starts kindergarten.  What a crazy summer it's going to be."
6648,love,Already feel like such an idiot on the phone and it makes it worse when Brandon says I didn't say the right stuff
6672,love,"Tweeting to tweeple about my tweens, for tomorrow I am 30"
6720,love,"goodnight loveee, i have to attend extra classes at school tmrw. urgh"
6723,love,@amandagelso i know  mark is still one of my favorite boys ever. So nice and adorable.
6729,love,@adlounge  Hey! Wanted to confirm we're still meeting at Rivoli @ 6pm?  I can only stay for an hour and a bit  #adlounge
6746,love,@KirstenAlexa I KNOW! I love Nicholas Braun &amp; I think he'll make an okay Cameron but I don't wanna see it either
6762,love,want to see him so badly
6764,love,NOOOO!!!  &quot;thehannabeth: i have a crush... ;)&quot;
6790,love,"@fifthroom I tried TD, but it battled with CS3 over my processor. Nambu is really good, but unintuitive"
6818,love,another song that  makes me cry and cry all day  and night long.
6832,love,"@claudiatan yes! fb, ah i miss you"
6890,love,@Mo4Sho87 im following you! im following you! im sorry!  ahhahah i missed you!
6961,love,@marebear521 its open now??? Its so good!!! But didn't agree w/me
6981,love,Sick  Right now very thankful for my chicken soup and my bed!
7017,love,"turns 26 on june 22. no more a youth   shelton for my bday is going to snag me a piece of mancandy. miss u everyday, my hot chocolate &lt;3."
7025,love,"Going home  but when i get home , BLACK BERRY ! WOO HOO  . . . and get to see presten ! &lt;3"
7076,love,"At work again, when the weather is beautifullll"
7103,love,wish i can be with her every day
7108,love,weekend!! even though I have work
7171,love,I wish I had a dog
7177,love,@JohnAmussen @amadril @1txsage1957 @Vickie09 #followfriday thank you so much. I'm so behind. Still at about half of what I had.
7201,love,Back with a great time spent with my cousins...technically uncles and aunts!also had an icecream...it dint taste that good
7283,love,"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan"
7287,love,"@DerrickJWyatt Yeah, I'm not really feeling it either. Of course, I don't like the movie line, I wish that we were getting more Animated."
7322,love,Just looked at the date...today the one year anniversary of my Grandmother...miss her mane   um sad
7337,love,"Photo: So I still havnï¿½t hooked up my editing comp  I know you guys miss my artwork, so Iï¿½ve decided to... http://tumblr.com/xeh1wetiq"
7380,love,? THANK YOU @WINKII sana matanggap ako  http://plurk.com/p/x1yts
7407,love,"@DissidentFury Good morning, sis! Alas, it'll be time for me to say goodnight soon."
7442,love,"Maaaaaan what a lovely day, shame that the ice-cream man near our workplace decided there was business elsewhere before we got a 99"
7478,love,@cwpicketandco It's pretty warm out now! I forgot K was sick though.
7484,love,@pixiexlee Ahh but but  haha They're so cute together!! &gt;_&lt; cutest couple really! he's so sweet !
7520,love,thinking of you - Katy Perry
7545,love,"damnnn this day came to fast, but i cherished all the moment i had"
7558,love,"David Mitchell's presenting 'Have I Got News For You' tonight &lt;3 I love him! I think he's ace &lt;3 On another note, damn this headache"
7560,love,i love him..i hate him..i loved him yesterday...ill hate him tomorrow....damn im confused
7614,love,@anthonycashcash  you better come back soon! &lt;3
7620,love,I'm having a fantastically miserable time so far...
7660,love,cant decide on wht i wanna do with the rest of my day...i think i may go bk 2 sleep  woe is me! uugghh! lol
7669,love,@Sicknastyjessie  i know. it sucks
7681,love,"No more drinking for Harm   Doc is convinced that it's the cause of my PCVs (look it up).Told not to stop smoking just yet, that will come"
7751,love,"@livefrombrazil -I don't have a ticket, my boyfriend isn't that into them, it might rain, and I'm on a budget...boo!  I &lt;3 @coldplay tho"
7752,love,"@carinacani DAMN @-) That's a lot of messages from him @-) HOW SWEET. :&quot;&gt; And yeah, sayang"
7803,love,@thomasfiss we want you back !!!
7810,love,dang i miss you  goodnight
7856,love,@iamdiddy i need a hug i dnt feel so good
7878,love,"Steve makes fruit smoothies for me each day &amp; they are berry delicious, I made mine today &amp; it was berry, berry bad"
7893,love,"@iamdiddy my lil sister Charese, her best friend passed today"
7901,love,joe: 2.30pm Kevin pics up a new pair of pjs :') PMSL i could have died!!! lmfaoo :') I MISS MY BOYS
7908,love,Ahhh I am sooo happy Ashley Tisdale is in Germany but I am not in Oberhausen...  But i will show it in the TV at 8 o' clock yeah I love it
7922,love,going to the library. I miss u already!
7952,love,Had a fantastic day with an amazing girl! Just wish Sara didn't have to go home.  #fb
7973,love,@lewdogg I wish I could afford to attend those benefits.
8001,love,"Lunching and bike riding around the village today with Lulu. Love my new bike, just wish I didn't have to lock it up all the time"
8017,love,come and save me from my packing please?!
8019,love,My break is over  back to the inferno  [ I Love Her ]
8020,love,"eating some breakfast at Panera Bread. boring cloudy weather, lil drizzle"
8023,love,I have a job at camp!!  Only downfall? No midnight showing of Harry Potter for me
8032,love,pondering OC/LA day trip tmr. after yoga/work. hmm n then see school of 7bells in irvine tmr nite. ponder ponder... gota work on sun tho
8063,love,"Every time I hear someone from Vancouver, it makes me follow them. I'm hopelessly in love with #vancouver"
8084,love,rip grandpa  graduation today...
8096,love,I ate to much lunch...now I don't want to work
8151,love,i have an ipod nano i never use.tut for the love of all things Apple
8187,love,"@Lidybeth inoo thats why i sed ino how u feel coz im in love with kyle, i feel like such a saddo but its true ha i wanna see him tuesday"
8204,love,@ginjagin I think you're pretty! I'm sorry they made you feel bad
8277,love,@jroberson4 Good luck at the services tomorrow!! I wish I could see you guys on your vacation!
8313,love,@Irish_Jean awessomee! cut my hurrr i give massage? orr alkie? or foodtour? yeaaah! &amp;i'll pray for ur cousin
8319,love,"Goood Dayy  Beeen shopping, didn't get what I wanted though  But my best friend has comeeee homeeee!! XD Ily Shannii x"
8395,love,Beautiful day on Ocracoke just hope the thunderstorms stay away this afternoon...it's not looking good
8399,love,@Auggie5000 lmao boss ross don't come on out here  I love that man he was the truth
8402,love,"Went to the hairdresser today, she cutted my hair off  I loved my long hair! Dad said he couldn't even see I got a haircut! LAAAME"
8427,love,@bondsbustyblond We've just 16ï¿½C today&amp;cold wind..  Want it 2b like 25ï¿½ to 30ï¿½! I love hot weather! But I reaped the 1st strawberry yday!
8430,love,"@SU2C What about having one in TAMPA? I've been all excited to do the hunt, but I'm too far from any of those cities"
8457,love,@marianalizbeth yayy!!! Im gonna see you today! I miss you!
8471,love,Yeah it's Friday but I have to work at 5am tomorrow  oh well going shopping afterwork
8486,love,"fourteen hours later, i'm still having the worst allergy flare-up in my life from shooting an engagement session in a field last night..."
8516,love,"Man, the French Open has been on for a week and I haven't had the opportunity to catch a single match"
8522,love,Wishing I could have seen my nephew graduate from kindergarten!
8592,love,"@kaylee2o3 HA! finally found someone I know! happy summer Kaylee, too bad I dont get to kick next to you anymore"
8661,love,@jazzjeet haha you would do that =P that's cute. nobody ever comes to visit me  god damn lake geneva and how far it is from civilizati ...
8685,love,"Field day over. Lots of great action fotos. Ate lunch, need 2 showr, tidy hse, get ready 4 stamp club. Btw Mexican skin got 2 tan 2day"
8723,love,@babyblueonline omg I'm so sorry to hear that!  If you really need to talk to someone I'm always on here. I'm a shoulder you lean on
8726,love,I miss having nothing to do except lay out beside the pool every day of the summer.  That was much better than spending all day in class.
8727,love,"@Kenzielee_ Oh god, yeah! I forgot about that"
8795,love,shopping! Migawd. i don't want to surf the net anymore.
8796,love,@LolliroyAngel yep im very jelous too  id love to be in miley position haha x
8818,love,@2TuffDC i dunno what i'm gonna do. i love my skinny jeans!
8819,love,"I wanna go, I wanna go!!!! but I can't"
8841,love,@StylistaMunchee I lluuvv u too..  ahhh im gonna miss u evenn moreee! lol
8846,love,"can't wait to watch the Tonight Show, this evening last one with Jay"
8879,love,@paulineee: I know!! Im so excited. We cant go earlierrr than the afternoon?  I love you tooz &lt;3
8888,love,Anyone have a Super Nintendo Controller they want to sell me? Mine broke.
8959,love,"@orbitaldiamonds awww bb, you sound lonely  I want to drive up there/fly and snuggle you too"
8982,love,@SilveryBeing  *hug*
9044,love,Loves using remote access to use my desktop from my laptop.  -- Back from Emerge once again.
9047,love,"@ChristinaHz no wayyy, that's too funny.  well he sure is missing out, but ever since you left, i feel i am too  when is your next visit?"
9059,love,I'm being held captive on my day of freedom.
9080,love,@Caroljs Warren has just died.. hannah has been killed.. and I'm gutted!!! I love warren (even if he is nasty!!)
9115,love,I just need to go to the bank
9149,love,Am in the mix on the Galaxy weekend! Love(d) my Friday show! Sweet! Make the most of this one if your listening
